loops	prediction	trackerror	treesize	prunetreesize
126.0	0.5	0.12228274845343698	2308.0	5.0
127.0	0.2	0.0687660921866744	3473.0	6.0
128.0	0.2	0.060299902650829365	4392.0	5.0
129.0	0.9	0.1337102886229505	5160.0	5.0
130.0	0.1	0.08244938708325822	5769.0	9.0
131.0	0.1	0.03802391349980167	6953.0	8.0
132.0	0.1	0.12843006599681836	7558.0	7.0
133.0	0.2	0.21615082693679225	8471.0	6.0
134.0	0.1	0.1333894727727144	10573.0	4.0
135.0	0.2	0.11255025316117959	11358.0	3.0
136.0	0.0	0.05314940147171438	317.0	11358.0
137.0	0.0	0.02830908513511559	874.0	211.0
138.0	0.4	0.04420154964424122	1296.0	5.0
139.0	0.2	0.15295874384413286	1395.0	4.0
140.0	0.4	0.0948753169419603	2216.0	6.0
141.0	0.2	0.012284928775390431	3002.0	5.0
142.0	0.6000000000000001	0.07745720918854243	4894.0	5.0
143.0	0.5	0.11639896996910233	5371.0	3.0
144.0	0.0	0.033166817183118764	5751.0	1.0
145.0	0.0	0.03796962024595724	1679.0	5751.0
146.0	0.0	0.001932536505978228	2340.0	26.0
147.0	0.5	0.056513436941293196	3061.0	5.0
148.0	0.2	0.09638655026663874	4249.0	4.0
149.0	0.2	0.1424570056779807	6421.0	3.0
150.0	1.2999999999999998	0.041276279303574116	989.0	6421.0
151.0	0.0	0.003765983850002372	952.0	937.0
152.0	0.4	0.041665413765501425	2021.0	7.0
153.0	0.2	0.08660299180292967	2936.0	6.0
154.0	0.2	0.060059599720170456	3962.0	5.0
155.0	0.1	0.20837298838000387	4890.0	3.0
156.0	1.3	0.0994266004711468	1585.0	2.0
157.0	0.4	0.10809426835975271	1007.0	10.0
158.0	0.1	0.036576755959323755	3566.0	10.0
159.0	0.30000000000000004	0.16492335253375534	4097.0	9.0
160.0	0.1	0.11099075687575927	4524.0	6.0
161.0	0.1	0.06370183622856067	5352.0	5.0
162.0	0.1	0.03739520058636433	6667.0	4.0
163.0	0.30000000000000004	0.1265085154664443	8274.0	3.0
164.0	1.7	0.04242063995015524	901.0	8274.0
165.0	0.0	0.008678293723309239	2004.0	487.0
166.0	0.4	0.04903888964693779	1542.0	9.0
167.0	0.1	0.15325363138929718	1998.0	10.0
168.0	0.2	0.12296123530455949	1209.0	10.0
169.0	0.1	0.06675112146819356	2137.0	9.0
170.0	0.1	0.09888288903292426	894.0	8.0
171.0	0.2	0.0708832917777048	1697.0	8.0
172.0	0.2	0.07519727503043983	1931.0	6.0
173.0	0.4	0.08482144389633949	1085.0	7.0
174.0	0.2	0.133341346427949	1673.0	9.0
175.0	0.4	0.1991804710439139	1004.0	9.0
176.0	0.2	0.19090263226166312	2462.0	8.0
177.0	0.2	0.14525130543211423	4537.0	7.0
178.0	0.5	0.14189542996278023	5798.0	5.0
179.0	0.2	0.0555537393941763	6213.0	3.0
180.0	0.0	0.10079919572492292	1241.0	6213.0
181.0	0.0	0.11052222873977607	1413.0	1076.0
182.0	0.5	0.04856825568879754	2680.0	4.0
183.0	0.4	0.1133245191877698	6741.0	3.0
184.0	1.0999999999999999	0.039897696385431676	1219.0	6741.0
185.0	0.0	0.0010062612678448804	1393.0	1218.0
186.0	0.5	0.08761987255731797	1212.0	5.0
187.0	0.2	0.058266749068967595	2288.0	6.0
188.0	0.2	0.13317734517495927	1474.0	6.0
189.0	0.4	0.09583583913039276	1026.0	6.0
190.0	0.6000000000000001	0.09711472653658025	664.0	7.0
191.0	0.1	0.0532592519048026	838.0	11.0
192.0	0.2	0.1531306221517746	1006.0	10.0
193.0	0.1	0.08237292640040382	1486.0	9.0
194.0	0.1	0.16072268653215047	1680.0	8.0
195.0	0.2	0.07569939885601694	1135.0	7.0
196.0	0.1	0.16778512381470537	1718.0	6.0
197.0	0.4	0.1118719648358861	1789.0	5.0
198.0	0.30000000000000004	0.03277616290522531	1636.0	4.0
199.0	0.4	0.11605834426607511	1943.0	4.0
200.0	0.6000000000000001	0.04650820977632681	3126.0	4.0
201.0	0.7000000000000001	0.10187061775146689	756.0	4.0
202.0	0.30000000000000004	0.05087133813437085	1761.0	11.0
203.0	0.0	0.0777112497885265	2854.0	12.0
204.0	0.2	0.09584662207818574	3846.0	10.0
205.0	0.1	0.16590338139464386	4790.0	8.0
206.0	0.1	0.09925644763013303	5610.0	6.0
207.0	0.1	0.044743357619336	8441.0	5.0
208.0	0.7	0.048842225382672376	8869.0	4.0
209.0	2.400000000000001	0.044348150517281124	1159.0	8869.0
210.0	0.0	0.016419963309344643	1235.0	1107.0
211.0	0.4	0.09159591206806562	45.0	9.0
212.0	0.1	0.05376430100300475	95.0	11.0
213.0	0.1	0.12854264502113352	95.0	11.0
214.0	0.1	0.22022167098678144	189.0	11.0
215.0	0.1	0.24981595758510694	155.0	11.0
216.0	0.2	0.24140882345047043	1691.0	11.0
217.0	0.1	0.05008493759571433	1205.0	11.0
218.0	0.1	0.13969965182905295	718.0	11.0
